title,description
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""1"" data-ecommerce-path=""/government/news/bird-flu-avian-influenza-latest-situation-in-england"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/bird-flu-avian-influenza-latest-situation-in-england"" data-track-action=""News and communications.1"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/bird-flu-avian-influenza-latest-situation-in-england"" data-track-options='{""dimension28"":20,""dimension29"":""Bird flu (avian influenza): latest situation in England""}' href=""/government/news/bird-flu-avian-influenza-latest-situation-in-england"">Bird flu (avian influenza): latest situation in England</a>","<p class=""gem-c-document-list__item-description"">Find out about the latest bird flu situation in England and guidance for bird keepers and the public.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""2"" data-ecommerce-path=""/government/news/pm-call-with-nato-secretary-general-jens-stoltenberg-12-march-2023"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/pm-call-with-nato-secretary-general-jens-stoltenberg-12-march-2023"" data-track-action=""News and communications.2"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/pm-call-with-nato-secretary-general-jens-stoltenberg-12-march-2023"" data-track-options='{""dimension28"":20,""dimension29"":""PM call with NATO Secretary General Jens Stoltenberg: 12 March 2023""}' href=""/government/news/pm-call-with-nato-secretary-general-jens-stoltenberg-12-march-2023"">PM call with NATO Secretary General Jens Stoltenberg: 12 March 2023</a>","<p class=""gem-c-document-list__item-description"">The Prime Minister spoke to NATO Secretary General Jens Stoltenberg this morning.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""3"" data-ecommerce-path=""/government/news/chancellor-update-on-silicon-valley-bank-uk"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/chancellor-update-on-silicon-valley-bank-uk"" data-track-action=""News and communications.3"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/chancellor-update-on-silicon-valley-bank-uk"" data-track-options='{""dimension28"":20,""dimension29"":""Chancellor update on Silicon Valley Bank UK""}' href=""/government/news/chancellor-update-on-silicon-valley-bank-uk"">Chancellor update on Silicon Valley Bank UK</a>","<p class=""gem-c-document-list__item-description"">An update from Chancellor Jeremy Hunt on Silicon Valley Bank UK</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""4"" data-ecommerce-path=""/government/news/north-korea-missile-launch-fcdo-response-10-march-2023"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/north-korea-missile-launch-fcdo-response-10-march-2023"" data-track-action=""News and communications.4"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/north-korea-missile-launch-fcdo-response-10-march-2023"" data-track-options='{""dimension28"":20,""dimension29"":""North Korea missile launch: FCDO response, 10 March 2023""}' href=""/government/news/north-korea-missile-launch-fcdo-response-10-march-2023"">North Korea missile launch: FCDO response, 10 March 2023</a>","<p class=""gem-c-document-list__item-description"">The Foreign, Commonwealth &amp; Development Office (FCDO) has issued a statement following reports that a missile has been launched by North Korea.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""5"" data-ecommerce-path=""/government/news/ukpact-helps-local-communities-and-forest-preservation-in-mexico"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/ukpact-helps-local-communities-and-forest-preservation-in-mexico"" data-track-action=""News and communications.5"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/ukpact-helps-local-communities-and-forest-preservation-in-mexico"" data-track-options='{""dimension28"":20,""dimension29"":""UKPACT helps local communities and forest preservation in Mexico""}' href=""/government/news/ukpact-helps-local-communities-and-forest-preservation-in-mexico"">UKPACT helps local communities and forest preservation in Mexico</a>","<p class=""gem-c-document-list__item-description"">Increased incomes for local communities and forest preservation amongst the many benefits of UKPACT shade coffee initiative. </p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""6"" data-ecommerce-path=""/government/news/uk-and-france-commit-to-greater-defence-cooperation-at-paris-summit"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/uk-and-france-commit-to-greater-defence-cooperation-at-paris-summit"" data-track-action=""News and communications.6"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/uk-and-france-commit-to-greater-defence-cooperation-at-paris-summit"" data-track-options='{""dimension28"":20,""dimension29"":""UK and France commit to greater defence cooperation at Paris summit""}' href=""/government/news/uk-and-france-commit-to-greater-defence-cooperation-at-paris-summit"">UK and France commit to greater defence cooperation at Paris summit</a>","<p class=""gem-c-document-list__item-description"">UK and France commit to continued support for Ukraine, working together as NATO allies to ensure Russia’s illegal invasion fails</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""7"" data-ecommerce-path=""/government/news/covid-19-variants-identified-in-the-uk-latest-updates"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/covid-19-variants-identified-in-the-uk-latest-updates"" data-track-action=""News and communications.7"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/covid-19-variants-identified-in-the-uk-latest-updates"" data-track-options='{""dimension28"":20,""dimension29"":""COVID-19 variants identified in the UK – latest updates""}' href=""/government/news/covid-19-variants-identified-in-the-uk-latest-updates"">COVID-19 variants identified in the UK – latest updates</a>","<p class=""gem-c-document-list__item-description"">Latest updates on SARS-CoV-2 variants detected in the UK.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""8"" data-ecommerce-path=""/government/news/apha-fees-and-charges-review-20222023-update"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/apha-fees-and-charges-review-20222023-update"" data-track-action=""News and communications.8"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/apha-fees-and-charges-review-20222023-update"" data-track-options='{""dimension28"":20,""dimension29"":""APHA Fees and Charges Review 2022/2023 Update""}' href=""/government/news/apha-fees-and-charges-review-20222023-update"">APHA Fees and Charges Review 2022/2023 Update</a>","<p class=""gem-c-document-list__item-description"">Review of the fees and charges for APHA statutory services have now concluded</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""9"" data-ecommerce-path=""/government/news/belize-and-uk-sign-mou-to-implement-biodiverse-landscapes-fund"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/belize-and-uk-sign-mou-to-implement-biodiverse-landscapes-fund"" data-track-action=""News and communications.9"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/belize-and-uk-sign-mou-to-implement-biodiverse-landscapes-fund"" data-track-options='{""dimension28"":20,""dimension29"":""Belize and UK sign MOU to implement Biodiverse Landscapes Fund""}' href=""/government/news/belize-and-uk-sign-mou-to-implement-biodiverse-landscapes-fund"">Belize and UK sign MOU to implement Biodiverse Landscapes Fund</a>","<p class=""gem-c-document-list__item-description"">BHC Nicole Davison and Minister Orlando Habet signed a Memorandum of Understanding, formalising the cooperation to implement the Biodiverse Landscapes Fund.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""10"" data-ecommerce-path=""/government/speeches/pm-remarks-at-uk-france-summit-press-conference"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/speeches/pm-remarks-at-uk-france-summit-press-conference"" data-track-action=""News and communications.10"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/speeches/pm-remarks-at-uk-france-summit-press-conference"" data-track-options='{""dimension28"":20,""dimension29"":""PM remarks at UK-France Summit Press Conference""}' href=""/government/speeches/pm-remarks-at-uk-france-summit-press-conference"">PM remarks at UK-France Summit Press Conference</a>","<p class=""gem-c-document-list__item-description"">Prime Minister Rishi Sunak's remarks at the UK-France Summit 2023 Press Conference.</p>"
